date,long_short_return,long_only_return,n_portfolios
2018-02-28,0.09163367456902494,0.06785573255733976,1
2018-03-31,0.17953387054158915,0.12046575846900376,2
2018-04-30,-0.025961436114352903,-0.1186801585075058,3
2018-05-31,-0.018215334062815523,-0.08970209457051019,4
2018-06-30,-0.05081972546708078,-0.053048589930986025,5
2018-07-31,0.028639033267202917,0.03321388273494592,6
2018-08-31,0.08958603587930873,0.1019043004217627,6
2018-09-30,-0.04247257094873844,0.010502954912922658,6
2018-10-31,-0.01849792783676072,-0.08420603967212964,6
2018-11-30,-0.09326150754488573,-0.03837097399433337,6
2018-12-31,-0.012127219861869614,-0.043148043388311706,6
2019-01-31,-0.013581438256051142,0.013148473813337752,6
2019-02-28,0.049476238271608824,0.06668813431583158,6
2019-03-31,0.03357177656962466,0.020621784628276126,6
2019-04-30,0.00721381869421987,-0.008385858814162083,6
2019-05-31,-0.001282297267284362,-0.007038884861299746,6
2019-06-30,0.0283176932119983,0.011999798315081947,6
2019-07-31,0.01925510100755998,0.03764791803205907,6
2019-08-31,0.013127787524369196,0.0087471875742913,6
2019-09-30,-0.020752160216620397,0.00901091667206739,6
2019-10-31,-0.0036871265555067246,0.007270089151823279,6
2019-11-30,0.02820304750008591,-0.03702272575184475,6
2019-12-31,0.054600128372407485,0.0036030363874588515,6
2020-01-31,0.020523287897974665,-0.02215698715801201,6
2020-02-29,-0.0018234446580314724,-0.040638982945457,6
2020-03-31,-0.07013756333441498,-0.28409592449556353,6
2020-04-30,-0.0006166382903611591,0.19586658032004436,6
2020-05-31,0.02287973363826834,0.1195762526457465,6
2020-06-30,0.029456940224991873,-0.05062285251719842,6
2020-07-31,-0.008422121562360533,-0.03454587140523415,6
2020-08-31,0.028814776080864486,0.148287968363587,6
2020-09-30,0.034441120503495355,0.04107307525543145,6
2020-10-31,-0.02783940559322379,0.02847563945812157,6
2020-11-30,0.03527846587219378,0.12869369269572467,6
2020-12-31,-0.0617438790966027,0.11993961129408443,6
2021-01-31,0.041806784070372825,-0.04463088030465803,6
2021-02-28,0.04437721551943754,0.16108306735576236,6
2021-03-31,0.014434781531411423,0.03335798330484117,6
2021-04-30,0.08015401234499597,0.07526364784210277,6
2021-05-31,0.24676817128890902,0.22547265939186986,6
2021-06-30,-0.029714287666173622,0.03465252584462142,6
2021-07-31,0.050800078433134645,-0.04028748789388279,6
2021-08-31,-0.02159764169727875,-0.00992717236789462,6
2021-09-30,-0.02570235198581718,-0.0013545109869828344,6
2021-10-31,-0.006008231567383439,0.0578819591472599,6
2021-11-30,0.012240661626469805,0.0009417955579445804,6
2021-12-31,-0.007826375472079858,0.012589374547099734,6
2022-01-31,-0.06713740393511328,-0.014140142044060763,6
2022-02-28,0.005713104860550243,0.015167301311813104,6
2022-03-31,0.015235911209691394,0.00041086135732666153,6
2022-04-30,-0.010862577655862059,-0.07299833509801473,6
2022-05-31,-0.04686943137751847,-0.08008228572603523,6
2022-06-30,-0.043016937667802575,-0.08500859166293723,6
2022-07-31,-0.01677028653884457,8.500558365208642e-05,6
2022-08-31,0.044817851763830414,0.07754857395192176,6
2022-09-30,0.013092690160841183,-0.11768344161743803,6
2022-10-31,0.007717743775824293,-0.09777301461572736,6
2022-11-30,-0.08963200809798033,0.012584511302035181,6
2022-12-31,-0.020068026899257102,-0.049030661824636314,6
2023-01-31,-0.035202290544061265,0.10925204582111196,6
2023-02-28,0.07821466241269037,-0.049112424570318225,6
2023-03-31,-0.08881339137870152,0.022117873677053146,6
2023-04-30,-0.06802853095975504,-0.043370089406679,6
2023-05-31,-0.037791290546023266,-0.0013859670057991711,6
2023-06-30,-0.075720982390945,0.018713656698298567,6
2023-07-31,-0.08022886356787594,0.06693058045137736,6
2023-08-31,-0.011060560249365773,0.00668287587055727,6
2023-09-30,0.03017384395256691,-0.045517129170542396,6
2023-10-31,0.05835259708072112,-0.09741489444179696,6
2023-11-30,-0.015961805671192084,0.06245663352956931,6
2023-12-31,-0.017988337242692512,0.03395362953724737,6
2024-01-31,0.060617270176776705,0.056530920244996515,6
2024-02-29,0.025781045402854374,0.08858322975147583,6
2024-03-31,0.0038286213903767825,0.020700399307478353,6
2024-04-30,0.022841468247150925,-0.04834568041904167,6
2024-05-31,-0.02143368156127823,0.043037483380570986,6
2024-06-30,0.002575225494905262,1.6524865426514922e-05,6
2024-07-31,0.013506230644976573,0.022652119265365863,6
2024-08-31,-0.0032835316653796035,0.028947474311461524,6
2024-09-30,0.04157961230937535,0.025608311834084654,6
2024-10-31,-0.0007470936976763926,-0.027373052599265344,6
2024-11-30,-0.015011789137584946,-0.024043148124647376,6
2024-12-31,0.03786915318070233,0.03940815073361353,6
